No.,channel,selfkoc_account,selfkoc_post_url,Likes,Comments,Views,selfkoc_post_date,selfkoc_video_id,,,,,,,,,,
117,youtube,@myintgotsu,https://www.youtube.com//shorts/1zVB3I2NKsc,16,0,2239,2025/3/30,1zVB3I2NKsc,,,,,,,,,,
118,youtube,@stephaniewarner-e1y,https://www.youtube.com//shorts/J6ch0v_Powg,21,0,2235,2025/2/18,J6ch0v_Powg,,,,,,,,,,
119,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/KCC1zN_ksrQ,19,0,2206,2025/3/22,KCC1zN_ksrQ,,,,,,,,,,
120,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/NAogocclGE4,16,1,2204,2025/1/22,NAogocclGE4,,,,,,,,,,
121,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/ZwUimHbb3fY,23,0,2147,2025/2/26,ZwUimHbb3fY,,,,,,,,,,
122,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/F-XWB74kGAk,26,0,2141,2025/2/13,F-XWB74kGAk,,,,,,,,,,
123,youtube,@stephaniewarner-e1y,https://www.youtube.com//shorts/0u3PFqFVw6E,20,0,2110,2025/2/26,0u3PFqFVw6E,,,,,,,,,,
124,youtube,@stephaniewarner-e1y,https://www.youtube.com//shorts/BkNcHsxbr6U,5,0,2106,2025/4/10,BkNcHsxbr6U,,,,,,,,,,
125,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/gj5lqskekR0,16,0,2081,2025/2/13,gj5lqskekR0,,,,,,,,,,
126,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/XposHKGicYc,27,0,2075,2025/2/7,XposHKGicYc,,,,,,,,,,
127,youtube,@myintgotsu,https://www.youtube.com//shorts/YwUrXjJa0mI,19,0,2065,2025/2/4,YwUrXjJa0mI,,,,,,,,,,
128,youtube,@myintgotsu,https://www.youtube.com//shorts/DRTCrfeic5U,18,0,2047,2025/2/20,DRTCrfeic5U,,,,,,,,,,
129,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/wbBlRnIlTP8,17,0,2046,2025/3/27,wbBlRnIlTP8,,,,,,,,,,
130,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/Ue6P-4PyOWI,21,0,2034,2025/2/19,Ue6P-4PyOWI,,,,,,,,,,
131,youtube,@delimiroorozc,https://www.youtube.com//shorts/HJr-fcAdTaM,25,0,2026,2025/3/5,HJr-fcAdTaM,,,,,,,,,,
132,youtube,@stephaniewarner-e1y,https://www.youtube.com//shorts/F7VP4UbrOG8,30,0,2018,2025/2/12,F7VP4UbrOG8,,,,,,,,,,
133,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/Fhoq_UAgwDM,19,0,2001,2025/3/8,Fhoq_UAgwDM,,,,,,,,,,
